Type,Instance,Radii,Lengths,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 6,Instance 29,[2.934],[30.0],609.9999999999868,387.79703584874676,146.54131208847872,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 6,Instance 30,[2.934],[30.0],609.9999999999941,153.93287576120892,151.02637817235495,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 6,Instance 31,[2.934],[30.0],609.9999999999925,162.90300792895482,342.6027723262557,1.0,3.031649005909761e-14,5.684341886080802e-15
Type 6,Instance 32,[2.934],[30.0],609.9999999999957,65.51300153633575,322.0996130857068,1.0,3.173757553061781e-14,7.579122514774402e-15
Type 7,Instance 1,[1.838],[30.0],10.000000000000036,199.25287895749534,90.32900554563183,1.0,0.0,0.0
Type 7,Instance 2,[1.838],[30.0],10.000000000000036,105.06649119621288,210.1443423576033,1.0,0.0,0.0
Type 7,Instance 3,[1.838],[30.0],10.000000000000036,134.53978260450538,290.87553186727393,1.0,0.0,0.0
Type 7,Instance 4,[1.838],[30.0],10.000000000000036,209.50445857777095,240.258357492163,1.0,0.0,0.0
Type 7,Instance 5,[1.838],[30.0],10.000000000000036,238.33702625979618,130.69460030046713,1.0,0.0,0.0
Type 7,Instance 6,[1.838],[30.0],10.000000000000036,81.35971332432547,108.2692698811142,1.0,0.0,0.0
Type 7,Instance 7,[1.838],[30.0],10.000000000000036,394.6736154689995,226.16243551428397,1.0,0.0,0.0
Type 7,Instance 8,[1.838],[30.0],10.000000000000036,283.187687098502,75.59235984148562,1.0,0.0,0.0
Type 7,Instance 9,[1.838],[30.0],10.000000000000036,296.00216162384663,329.3189554433076,1.0,0.0,0.0
Type 7,Instance 10,[1.838],[30.0],10.000000000000036,238.33702625979618,302.40855894008405,1.0,0.0,0.0
Type 7,Instance 11,[1.838],[30.0],10.000000000000036,240.9370262597962,299.808558940084,1.0,0.0,0.0
Type 7,Instance 12,[1.838],[30.0],10.000000000000036,298.60216162384654,326.71895544330766,1.0,0.0,0.0
Type 7,Instance 13,[1.838],[30.0],10.000000000000036,285.78768709850203,72.99235984148562,1.0,0.0,0.0
Type 7,Instance 14,[1.838],[30.0],10.000000000000036,397.27361546899954,223.56243551428395,1.0,0.0,0.0
