Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 10,Instance 5,10.0,30.0,25.000000000000036,307.8578643762691,30.0,-1.0,0.0,0.0
Type 10,Instance 6,10.0,30.0,624.9999999999967,22.000000000028923,380.0000000000037,-1.0,-3.150072795203111e-14,-7.579122514774402e-15
Type 10,Instance 7,10.0,30.0,624.9999999999991,22.00000000002041,30.000000000003766,-1.0,-3.150072795203111e-14,-6.7501559897209515e-15
Type 10,Instance 8,10.0,30.0,624.999999999982,487.000000000029,379.9999999999923,-1.0,-3.031649005909761e-14,-7.579122514774402e-15
Type 10,Instance 9,10.0,30.0,624.9999999999832,487.0000000000248,209.14213562372333,-1.0,-3.031649005909761e-14,-6.631732200427602e-15
Type 10,Instance 10,10.0,30.0,624.9999999999901,307.8578643762895,29.999999999996774,-1.0,-3.221127068779121e-14,-6.7501559897209515e-15
Type 11,Instance 1,4.2,20.0,625.0,247.85999999999999,10.0,0.0,0.0,-1.0
Type 11,Instance 1,4.2,20.0,625.0,247.85999999999999,10.0,0.0,0.0,-1.0
Type 11,Instance 2,4.2,20.0,625.0,81.99999999999999,10.0,0.0,0.0,-1.0
Type 11,Instance 2,4.2,20.0,625.0,81.99999999999999,10.0,0.0,0.0,-1.0
Type 11,Instance 3,4.2,20.0,25.0,81.99999999999999,10.0,0.0,0.0,-1.0
Type 11,Instance 3,4.2,20.0,25.0,81.99999999999999,10.0,0.0,0.0,-1.0
Type 11,Instance 4,4.2,20.0,25.0,247.85999999999999,10.0,0.0,0.0,-1.0
Type 11,Instance 4,4.2,20.0,25.0,247.85999999999999,10.0,0.0,0.0,-1.0
Type 11,Instance 5,4.2,20.0,625.0,411.5693841169249,105.42724849319397,0.0,0.7071067811865476,-0.7071067811865476
Type 11,Instance 5,4.2,20.0,625.0,411.5693841169249,105.42724849319397,0.0,0.7071067811865476,-0.7071067811865476
Type 11,Instance 6,4.2,20.0,25.000000000000007,411.5693841169249,105.42724849319404,0.0,0.7071067811865478,-0.7071067811865471
Type 11,Instance 6,4.2,20.0,25.000000000000007,411.5693841169249,105.42724849319404,0.0,0.7071067811865478,-0.7071067811865471
Type 11,Instance 7,4.2,20.0,24.99999999999989,507.0,300.0,0.0,1.0,0.0
Type 11,Instance 7,4.2,20.0,24.99999999999989,507.0,300.0,0.0,1.0,0.0
Type 11,Instance 8,4.2,20.0,624.9999999999999,507.0,300.0,0.0,1.0,0.0
Type 11,Instance 8,4.2,20.0,624.9999999999999,507.0,300.0,0.0,1.0,0.0
Type 12,Instance 1,2.0,20.0,152.70944314441272,263.1270659804535,10.0,0.0,0.0,1.0
